ONS code,Planning authority,Dwellings,"Offices, research and development, light industry","General industry, storage, warehousing","Retail
and
service",Traveller pitches,All other major and minor developments,Change of Use,Householder developments,Advertisements,Listed building consents (to alter/extend),listed building consents (to demolish),Conservation area consents,Total,Enforcement Notices issued,Stop Notices issued,Temporary Stop Notices issued,Breach of Condition Notices served,Planning Contravention Notices served ,Enforcement injunctions granted by High Court or County Court,Enforcement injunctions refused by High Court or County Court    ,Year
E09000012,Hackney,225,13,1,11,0,633,143,543,92,83,5,2,"1,751",54,1,9,4,7,2,0,2014
E09000013,Hammersmith and Fulham,316,15,1,58,0,192,79,"1,429",648,60,18,3,"2,819",317,1,4,18,86,0,0,2014
E09000014,Haringey,207,12,1,60,0,111,86,"1,270",77,40,1,0,"1,865",104,0,1,2,96,0,0,2014
E09000015,Harrow,199,21,5,65,0,177,24,"1,206",70,33,0,0,"1,800",36,0,0,0,0,0,0,2014
E09000016,Havering,226,3,9,10,2,190,82,"1,013",83,11,0,0,"1,629",19,0,0,0,4,0,0,2014
E09000017,Hillingdon,264,42,15,61,0,238,66,"1,572",97,31,0,1,"2,387",81,0,0,0,193,0,0,2014
E09000018,Hounslow,168,15,20,78,1,240,62,"1,165",158,45,1,0,"1,953",156,0,0,3,106,0,0,2014
E09000019,Islington,276,32,0,35,0,576,88,665,152,317,2,0,"2,143",78,0,0,14,12,0,0,2014
E09000020,Kensington and Chelsea,985,6,1,108,0,281,155,"1,335",214,749,12,6,"3,852",62,0,20,71,15,1,0,2014
E09000021,Kingston upon Thames,174,4,2,22,0,190,50,"1,104",75,22,0,160,"1,803",0,0,0,0,0,0,0,2014
E09000022,Lambeth,277,7,3,4,0,671,102,"1,306",139,144,4,2,"2,659",21,0,0,2,9,0,0,2014
E09000023,Lewisham,195,2,5,1,0,769,52,687,54,39,1,2,"1,807",4,0,0,0,14,0,0,2014
E09000024,Merton,191,1,1,5,0,178,51,"1,191",70,30,0,1,"1,719",13,0,0,0,1,0,0,2014
E09000025,Newham,127,1,3,17,0,358,62,424,85,19,0,1,"1,097",453,37,25,8,204,1,0,2014
E09000026,Redbridge,155,1,1,0,0,317,80,"1,232",73,13,1,2,"1,875",87,0,6,90,4,0,0,2014
E09000027,Richmond upon Thames,159,15,3,35,0,861,67,"1,940",121,132,0,1,"3,334",8,0,0,0,25,0,0,2014
E09000028,Southwark,610,33,14,89,0,215,100,643,148,151,1,1,"2,005",35,0,2,6,56,1,0,2014
E09000029,Sutton,158,7,2,19,1,198,44,746,57,18,1,1,"1,252",6,0,0,1,0,0,0,2014
E09000030,Tower Hamlets,379,31,2,68,0,269,123,279,146,191,3,3,"1,494",107,0,1,4,3,0,0,2014
E09000031,Waltham Forest,300,1,3,27,0,158,67,530,58,8,1,3,"1,156",40,0,0,2,0,0,0,2014
E09000032,Wandsworth,"1,267",27,12,100,0,130,80,"1,815",141,49,0,0,"3,621",17,0,0,0,6,0,0,2014
E09000033,Westminster,296,69,1,541,0,"2,332",476,735,"1,196","2,117",19,12,"7,794",354,10,0,19,993,0,0,2014
NaN,England,"62,625","2,719","2,915","6,701",249,"66,252","21,458","209,436","21,901","29,732",461,258,"424,707","5,014",151,264,805,"4,459",43,0,2015
NaN,London boroughs,"11,198",658,188,"1,809",6,"13,406","2,909","36,794","5,030","5,470",48,81,"77,597","2,544",57,79,237,"1,540",1,0,2015
E09000002,Barking and Dagenham,82,1,17,26,0,101,58,388,51,1,0,0,725,88,1,0,16,0,0,0,2015
E09000003,Barnet,569,12,0,0,0,657,64,"2,189",123,109,1,0,"3,724",106,0,1,0,48,0,0,2015
E09000004,Bexley,172,10,12,46,1,141,79,"1,225",73,4,0,0,"1,763",1,0,0,2,14,0,0,2015
E09000005,Brent,265,11,20,70,0,576,50,"1,341",80,18,0,0,"2,431",164,0,0,4,64,0,0,2015
E09000006,Bromley,437,10,14,24,3,362,87,"2,047",104,38,3,1,"3,130",6,0,0,5,5,0,0,2015
E09000007,Camden,727,111,0,136,0,360,119,514,276,547,0,1,"2,791",43,0,0,1,57,1,0,2015
E09000001,City of London,7,115,0,43,0,90,57,0,120,174,0,0,606,0,0,0,0,0,0,0,2015
E09000008,Croydon,540,16,2,84,0,313,108,"1,313",120,11,0,0,"2,507",6,0,0,1,0,0,0,2015
E09000009,Ealing,291,10,27,22,0,574,79,"1,461",108,44,2,0,"2,618",46,1,5,2,40,0,0,2015
E09000010,Enfield,263,6,5,20,0,329,86,"1,238",88,13,0,0,"2,048",142,2,8,6,27,0,0,2015
E09000011,Greenwich,86,0,2,0,0,430,73,859,122,101,0,0,"1,673",18,0,1,1,12,0,0,2015
E09000012,Hackney,244,13,2,6,0,623,119,573,133,85,4,0,"1,802",41,0,0,2,0,0,0,2015
E09000013,Hammersmith and Fulham,361,20,0,57,0,206,121,"1,766",135,64,0,0,"2,730",663,1,1,8,590,0,0,2015
E09000014,Haringey,268,6,5,53,0,124,103,"1,459",108,38,0,0,"2,164",118,0,4,11,66,0,0,2015
E09000015,Harrow,280,31,5,65,0,146,34,"1,403",63,31,0,0,"2,058",12,0,0,2,0,0,0,2015
E09000016,Havering,188,7,10,15,1,166,61,"1,181",76,7,0,0,"1,712",47,0,1,3,0,0,0,2015
E09000017,Hillingdon,244,23,7,58,0,252,48,"1,739",92,38,0,0,"2,501",52,1,0,9,44,0,0,2015
E09000018,Hounslow,207,23,24,53,1,324,57,"1,213",113,77,1,0,"2,093",87,0,2,16,29,0,0,2015
E09000019,Islington,310,18,0,23,0,529,106,556,200,326,5,1,"2,074",78,1,1,4,0,0,0,2015
E09000020,Kensington and Chelsea,"1,273",4,0,130,0,351,203,"1,516",294,966,4,74,"4,815",60,14,30,52,14,0,0,2015
E09000021,Kingston upon Thames,179,0,2,20,0,242,35,"1,153",78,30,2,0,"1,741",0,0,0,0,0,0,0,2015
E09000022,Lambeth,219,4,1,1,0,654,111,"1,328",166,143,9,2,"2,638",34,0,0,12,13,0,0,2015
E09000023,Lewisham,235,1,4,9,0,809,59,751,62,40,3,0,"1,973",32,0,0,0,75,0,0,2015
E09000024,Merton,172,2,2,2,0,195,39,"1,358",74,29,0,0,"1,873",27,0,1,0,0,0,0,2015
E09000025,Newham,145,0,1,2,0,388,52,554,72,7,0,0,"1,221",357,32,15,1,118,0,0,2015
E09000026,Redbridge,134,0,1,0,0,231,44,"1,003",66,13,0,0,"1,492",43,1,0,67,12,0,0,2015
E09000027,Richmond upon Thames,160,11,2,26,0,"1,099",54,"1,986",123,132,2,0,"3,595",29,0,0,1,3,0,0,2015
E09000028,Southwark,625,26,5,71,0,284,116,714,164,207,2,0,"2,214",25,0,9,3,65,0,0,2015
